"season","avg_home_team_score","avg_visitor_team_score","avg_fgm","avg_fga","avg_fg3m","avg_fg3a","avg_ftm","avg_fta","avg_reb","avg_ast","avg_stl","avg_blk","avg_turnover","avg_pf","avg_pts"
1994,"102.8805084745762712","99.6703389830508475","3.7684892814588881","8.0917490684462737","0.55656294017867478276","1.54610143291072756717","1.99421224700779200857","2.7062090329109751","4.1302922718828434","2.3197339484813775","0.81517800688653262492","0.51195897834792649201","1.52040030096401171857","2.3459496186558621","10.0877537501042430"
1995,"100.8926014319809069","97.4900556881463803","3.7037178651398517","8.0258423265432419","0.59436406400896975274","1.62510122296074898861","1.94973167782136440344","2.64036014313830464357","4.1276152631582362","2.2682816260141872","0.79571797764733852468","0.50385680062002148162","1.52279677408155802416","2.3106689450515980","9.9515314721100375"
1996,"98.1024622716441620","95.3637807783955520","3.0266574004223052","6.6656378283045058","0.51227032528624471181","1.42627631427583232764","1.58247495256379440080","2.14016428323636250213","3.4575191767656583","1.84733179396543190993","0.68668047837270010021","0.41202331190189694046","1.26035332050720225806","1.8677459473216243","8.1480600786946495"
1997,"96.8085782366957903","93.8514694201747419","3.0027493223237367","6.6679805488253405","0.37096707291559731571","1.07324807684544808452","1.62814513263786959940","2.21137429370574978456","3.4788602044870187","1.84154991731873424131","0.69982275093414477978","0.42415819647561631587","1.23800190717862656281","1.89062358659942554779","8.0046108502009402"
1998,"92.9431099873577750","89.5625790139064475","2.8021669704470782","6.4234799200140265","0.36754489776943467924","1.08971959494605567226","1.55367676391229406048","2.12903192417208797293","3.4231332957134089","1.69594107990496711552","0.68478691957722354054","0.40652464384586629406","1.20140871974846580529","1.8436877756789261","7.5255556025758851"
1999,"98.9248417721518987","95.3512658227848101","3.0689198088075014","6.8511566423280444","0.40712643942005527036","1.15338824877883078225","1.59037813406553087325","2.12219987926905235669","3.5860637354413152","1.85802292672700625367","0.65891229190228227135","0.43134492210458776224","1.23333425575067017131","1.95595471998419852104","8.1353441911005890"
2000,"96.1930103256552820","93.2851469420174742","2.9787191355179467","6.7404885617039908","0.40742653830440232792","1.15182484274664795025","1.55922593975028440933","2.08440407546390746819","3.5561688574658203","1.81423959755808525610","0.65156822232833180162","0.44123836606262892391","1.19651385434144769423","1.87100755303846601313","7.9240907490905802"
2001,"97.0920634920634921","93.7206349206349206","3.0185494305556417","6.7947045552216360","0.43832266077607692524","1.24335684858045106596","1.50863401189332866280","2.00679428513745283937","3.5514471718182898","1.82428181980200613608","0.65057721907721907726","0.43731690502963794894","1.15428144985908961120","1.78877470246569625421","7.9840555337806891"
2002,"97.0783085356303837","93.2129992169146437","2.9665715679662836","6.7169578992282702","0.43240753587765287910","1.23598628120750556640","1.55283798574715333728","2.04847267684413387674","3.5216942808294548","1.78276627575775517387","0.65720895773449806886","0.41743211536250753120","1.18467976737968753409","1.82493512618153887061","7.9183886575573735"
2003,"94.9464988198269079","91.1542092840283242","2.9192542565588438","6.6719851602462009","0.43360883890850025016","1.25445692911861283279","1.52481963286943959513","2.03374123128835269165","3.5371413455243373","1.77609461309167121101","0.66400615393910642476","0.42335900237005152683","1.19250994333435410321","1.80656267779245236176","7.7969369848956275"
2004,"98.7897943640517898","95.6092916984006093","3.0018017257591722","6.7068896599724080","0.47101454630023231445","1.32423895548227077115","1.64861410198418779527","2.18182156582128089906","3.4943479059534545","1.76499533497602237065","0.62395243424391124559","0.41009377499325664699","1.15290060270166491158","1.89547925537274350998","8.1232320998027645"
2005,"98.7922668688400303","95.3305534495830174","2.9864503283205560","6.5768788297436695","0.47919520683362239559","1.33972931418616821436","1.64061913861133806509","2.19872178452317471423","3.4101562668566391","1.70656180282079455518","0.59321624112880823794","0.38940438492208554740","1.14408345043307991826","1.90419213555400921511","8.0927150020860724"
2006,"100.0244648318042813","96.9304281345565749","3.0361784676897361","6.6382077862083845","0.50796012769860994841","1.42009651060059915398","1.63501922821228764516","2.17532551712348281843","3.4255940390715520","1.76738338391210349618","0.60328060216497591836","0.38338101393022613605","1.20766571578822276968","1.8534799944161233","8.2153362912903699"
2007,"101.4475683890577508","97.7363221884498480","3.0920558914705458","6.7750971984474648","0.54419520208656225762","1.50667567843705838485","1.57558450300347968591","2.08597986824198186403","3.4933001969817339","1.80279687066554271261","0.60283939957549961074","0.39586779964706692832","1.12094333097985527214","1.76136851456399129364","8.3038914880311336"
2008,"101.3923954372623574","98.0859315589353612","3.0893263871985655","6.7410940381053436","0.55653562894775785207","1.52030481425555524716","1.59856505835600220726","2.07595576619620049865","3.4420472172478049","1.74201150820485927896","0.60643508585750171945","0.40114880467638321509","1.11724111210701369614","1.76723618755952546276","8.3337534617008910"
2009,"101.6844512195121951","98.8422256097560976","3.1294433697378090","6.7904460092863128","0.53730140750024101030","1.51676705275989475304","1.56170359471078585576","2.05912574871002097974","3.4707822192278383","1.76136991521204140531","0.59891674498398384942","0.40539901602683283489","1.12450716480408951391","1.75138673908938357381","8.3578917416866449"
2010,"100.8070175438596491","97.6102212051868802","3.0915127194741163","6.7585065559585508","0.53714283417198550045","1.50283920691342838459","1.55960182865366429325","2.04103135121988967358","3.4506045129435837","1.77838196410428029039","0.61000374353423801272","0.40870206391846029693","1.12969231163490441201","1.73258402350035023422","8.2797701017738825"
2011,"97.4720670391061453","94.5065176908752328","2.8243702035301906","6.3159409886646548","0.49567671190859596655","1.42590672908987215455","1.31942901139828514153","1.75307851412195189893","3.2759707685493047","1.61530241504373153677","0.59455384405145558097","0.39845189934676615917","1.07723780825189618036","1.53084595146634657557","7.4638461303672623"
2012,"99.5844748858447489","96.3082191780821918","2.9008132608132608","6.4175596656999278","0.56105406587985504003","1.56825484113750939344","1.31651879780378887010","1.74900376144271319913","3.2998217471981617","1.72129129291726075583","0.60838217431874370540","0.40112974632629188916","1.09064229364705838752","1.56802075326345725405","7.6791993853101655"
2013,"102.2168309325246399","99.6034874905231236","2.9488891983283321","6.4897865102621671","0.60867694118312175474","1.69267018817205058436","1.40307135739297785507","1.85466036696794517289","3.3423375877265517","1.71371328458746463126","0.59916002404893857584","0.36746612436347743069","1.09466220200488585647","1.62937143880513363345","7.9095266952327637"
2014,"101.2351145038167939","98.8519083969465649","2.9329379832285574","6.5454061248827263","0.61848434767037488606","1.76933570322070156139","1.34661901684503742208","1.79900735902860031593","3.3970309810532180","1.72309668039057351902","0.60554198344955065855","0.37827635311671156344","1.06956910823439200464","1.59029279606577980342","7.8309793309725271"
2015,"103.9992401215805471","100.9718844984802432","2.9833356817746272","6.6094773955701338","0.66943405482720931367","1.89234403620157551680","1.38261953424996903257","1.82868121326030669199","3.4194345673427542","1.73175482922360813201","0.61156696803898469026","0.38792436993061414893","1.07296537070357606815","1.58973050859614226897","8.0187249526264327"
2016,"107.1596638655462185","104.0763941940412529","3.0405371908568840","6.6480212084833934","0.75662516633287550405","2.1147965090566479","1.39391624694876430402","1.80523168038878670835","3.3829210534928474","1.76093543407025321542","0.59947935635184447766","0.36945394089530004766","1.03914296822407893028","1.55510084179612860535","8.2316157949954077"
2017,"107.3986280487804878","105.0320121951219512","3.1392187148526624","6.8246762825920103","0.83320856414705831452","2.3081053298504253","1.32312734753316672838","1.72528739282765661206","3.4520265881498318","1.83837601996801360521","0.61060256981883439996","0.38242907460381612025","1.07989113170101372696","1.58056615601833655877","8.4347733413855498"
2018,"112.4017027863777090","109.6037151702786378","3.2676412130373491","7.1090128647095300","0.90814769464860502103","2.5591901487156657","1.42000731463890598430","1.85064887580940425093","3.6028048652146604","1.95486405239235541563","0.60664350135173048216","0.39489937143770627062","1.07745466787877929186","1.67644972799257040868","8.8634374353622092"
2019,"112.6552930883639545","110.6211723534558180","3.2434338096596372","7.0516570068463436","0.97790025530109633504","2.7291101246839720","1.42723990856742645064","1.84362393142454130847","3.5604108658758418","1.9338118302366096","0.60603701465958734742","0.38682212763611272321","1.10509394021249140566","1.65867671884392912528","8.8920077831877972"
2020,"112.4956896551724138","111.3672413793103448","3.0588886227694091","6.5685229475525213","0.94210670601311302504","2.5716412899181230","1.26302351551256693398","1.62319076491306918062","3.2912960063361963","1.82951443889792464077","0.55833518272742922037","0.36099326849910654357","0.97508444914083847453","1.43902478887018270473","8.3229074670644982"
2021,"110.1422382671480144","108.2758122743682310","3.1069462194604957","6.7662018456112387","0.95417195756870506146","2.7068753075726498","1.30785042150877396498","1.69215372352255754679","3.4211628413837933","1.88203441995678435302","0.58867532240125940708","0.36661481137176982061","1.01422647617775348240","1.53122468216346039935","8.4759148179984704"
2022,"115.6350531107738998","113.0265553869499241","2.5323099938194644","5.3409453730190137","0.74554285325905076194","2.0717767046638872","1.10878506236663792443","1.41673491590172217186","2.6288444721695658","1.52519773597517297115","0.43916207562065341450","0.28285299196767962285","0.80692112571368809323","1.20799935634801469090","6.9189479032646176"
